Test Name,IDAM API Calls,IDAM Code API Calls,Service Token Calls,User ID Calls,CCD API calls,Total API Calls
Contested - Create General Email retry 0,4,4,4,4,8,24
Consented - Create General Email retry 0,4,4,4,4,8,24
Consented - Add Note - Assert validations retry 0,4,4,4,4,8,24
Contested - Add Note - Assert validations retry 0,4,4,4,4,8,24
Draft cases should not be visible to other users retry 0,2,2,2,2,4,12
Validate Case List Page filter fields retry 0,0,0,0,0,0,0
CAA can raise a Notice of Change retry 0,4,4,4,4,8,24
Consented - Application Payment Submission retry 0,1,1,1,1,2,6
Consented - Approve Application - Assign to Judge - Upload Approved Order - Send Order retry 0,4,4,4,4,8,24
Consented - Caseworker creates case flag retry 0,4,4,4,4,8,24
Consented - Caseworker manages case flag retry 0,5,5,5,5,10,30
Consented - Judge creates case flag retry 0,4,4,4,4,8,24
Consented - Judge manages case flag retry 0,5,5,5,5,10,30
Consented - HWF Application Accepted retry 0,2,2,2,2,4,12
Consented - Issue Application retry 0,3,3,3,3,6,18
Consented - Update contact details retry 0,3,3,3,3,6,18
Consented - Update contact details - change in representation retry 0,3,3,3,3,6,18
Consented - Create Case retry 0,0,0,0,0,0,0
Consented Tab Verification retry 0,3,3,3,3,6,18
Contested Tab Verification retry 0,4,4,4,4,8,24
Contested - Paper Case: Applicant Refuge Status Visibility retry 0,7,7,5,5,6,30
Contested - Case Submission retry 0,1,1,1,1,2,6
Contested - Respondent Assigned Case retry 0,6,6,5,5,8,30
Caseworker creates case flag for Form A retry 0,4,4,4,4,8,24
Judge creates case flag for Form A retry 0,4,4,4,4,8,24
Caseworker creates case flag for Paper Case retry 0,3,3,3,3,6,18
Caseworker creates case flag for Schedule1 Case retry 0,4,4,4,4,8,24
Contested - Caseworker manage case flag And Refund for Form A retry 0,5,5,5,5,10,30
Contested - List for Hearing express case (Form A) retry 0,5,5,5,5,10,30
Contested - List for Hearing express case (Paper Case) retry 0,4,4,4,4,8,24
Form A case - List for hearing information shows on new hearings tab. retry 0,5,5,5,5,10,30
Form A case - List for hearing information shows on new hearings tab after any manage hearings event. retry 0,5,5,5,5,10,30
Paper Case - List for hearing information shows on new hearings tab. retry 0,4,4,4,4,8,24
Paper Case - List for hearing information shows on new hearings tab after any manage hearings event. retry 0,4,4,4,4,8,24
Contested Form A - Amend Application Details. Exit Express Pilot content shown.  Amendment added a Variation Order, so criteria not met. retry 0,1,1,1,1,2,6
Contested Form A - Amend Application Details. Entering the Express Pilot content shown. The case still qualifies. retry 0,1,1,1,1,2,6
Contested Form A - Amend Application Details. No Express Pilot content should be shown.  The case did not qualify before and still does not. retry 0,1,1,1,1,2,6
Enrollment message dynamic page should be inserted when changing total value of assets retry 0,1,1,1,1,2,6
Enrollment message dynamic page should be inserted when participating court is changed retry 0,1,1,1,1,2,6
Exiting express pilot message dynamic page should be inserted when changing total value of assets retry 0,1,1,1,1,2,6
Exiting express pilot message dynamic page should be inserted when participating court is changed retry 0,1,1,1,1,2,6
Create consent order in Form A contested case - Consent Order - General Consent Order - respond to consent order - assign to judge - approve consent application - send consent order - close case retry 0,4,4,4,4,8,24
Create consent order in Form A contested case - Consent Order - assign to judge - Consent order not approved - respond to consent order - assign to judge - approve - send consent order - close case retry 0,4,4,4,4,8,24
